Name:,Hui Sun
Email:,suh960@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,Data originally fetched by Hui; heavily edited and re-uploaded by Adam in Jan2022; additional bugfixing in Nov 2024

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Fe10.5 Co10.5 Ni10.5 Cr10.5 Cu10.5 Ti10.5 Mo10.5 Al10.5 Si10.5 Be5.5,BCC+martensite,None,from a review paper,fracture toughness,EXP,nanoindentation,293.0,50900000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
2,Fe 14.3 Co14.3 Ni14.3 Cr14.3 Al42.8,BCC,None,from a review paper,fracture toughness,EXP,nanoindentation,293.0,7600000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
3,Al23 Co15 Cr23 Cu8 Fe15 Ni15,BCC,None,from a review paper,fracture toughness,EXP,K test,293.0,5600000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
4,Cr20 Mn20 Fe20 Co20 Ni20,FCC,None,from a review paper,fracture toughness,EXP,J-R curve on CT,77.0,219000000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
5,Cr20 Mn20 Fe20 Co20 Ni20,FCC,None,from a review paper,fracture toughness,EXP,J-R curve on CT,200.0,221000000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
6,Cr20 Mn20 Fe20 Co20 Ni20,FCC,None,from a review paper,fracture toughness,EXP,J-R curve on CT,293.0,217000000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
7,Al16.7 Cr16.7 Fe16.7 Ni33.2 Cu16.7,FCC+BCC,None,from a review paper,fracture toughness,EXP,K test,293.0,42500000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
8,Al16.7 Cr16.7 Fe16.7 Ni33.2 Cu16.7,FCC+BCC,None,from a review paper,fracture toughness,EXP,K test,473.0,46500000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
9,Al5.9 Cr29.4 Fe29.4 Ni29.4 Ti5.9,FCC+BCC,None,from a review paper,fracture toughness,EXP,K test,293.0,33500000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
10,Al18 Cr21 Fe20 Co20 Ni21,BCC,None,from a review paper,fracture toughness,EXP,K test,293.0,9000000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
11,Al15.5 Cr22.25 Fe20 Co20 Ni22.25,FCC+BCC,None,from a review paper,fracture toughness,EXP,K test,293.0,11000000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
12,Al13 Cr23.5 Fe20 Co20 Ni23.5,FCC,None,from a review paper,fracture toughness,EXP,K test,293.0,53000000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
13,CrCoNi,FCC,None,from a review paper,fracture toughness,EXP,J-R curve on CT,77.0,273300000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
14,CrCoNi,FCC,None,from a review paper,fracture toughness,EXP,J-R curve on CT,198.0,265200000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
15,CrCoNi,FCC,None,from a review paper,fracture toughness,EXP,J-R curve on CT,293.0,207700000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
16,Nb25 Mo25 Ta25 W25,BCC,None,Single Crystal; from a review paper,fracture toughness,EXP,bending notched micro-cantilever,298.0,1600000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
17,Nb25 Mo25 Ta25 W25,BCC+BCC,None,Bi-crystal; from a review paper,fracture toughness,EXP,bending notched micro-cantilever,298.0,200000.0,None,Pa m^0.5,T1,10.1016/j.intermet.2018.05.013
18,Ti25 Zr25 Nb25 Ta25,BCC,None,from a review paper,fracture toughness,EXP,None,298.0,28500000.0,None,None,T1,10.1016/j.intermet.2018.10.008
19,Ti23.75 Zr23.75 Nb23.75 Ta23.75 Mo5,BCC,None,from a review paper,fracture toughness,EXP,None,298.0,22500000.0,None,None,T1,10.1016/j.intermet.2018.10.008
20,Ti22.5 Zr22.5 Nb22.5 Ta22.5 Mo10,BCC,None,from a review paper,fracture toughness,EXP,None,298.0,20000000.0,None,None,T1,10.1016/j.intermet.2018.10.008
21,Ti20 Zr20 Nb20 Ta20 Mo20,BCC,None,from a review paper,fracture toughness,EXP,None,298.0,18700000.0,None,None,T1,10.1016/j.intermet.2018.10.008
22,V10 Cr10 Fe45 Co20 Ni15,FCC,None,None,fracture toughness,EXP,None,77.0,232000000.0,None,None,T2,10.1016/j.jallcom.2019.151864
23,V10 Cr10 Fe45 Co20 Ni15,FCC,None,None,fracture toughness,EXP,None,298.0,219000000.0,None,None,T2,10.1016/j.jallcom.2019.151864
24,Ti25 V25 Nb25 Ta25,BCC,None,None,fracture toughness,EXP,None,134.0,43000000.0,None,None,P4,10.1016/j.mtla.2020.100940
25,Fe41 Co7 Cr15 Mo14 C15 B6 Y2,amorphous,None,None,fracture toughness,EXP,None,293.0,2200000.0,None,None,T1,10.1016/j.scriptamat.2013.05.020
26,Zr41.2 Ti13.8 Cu12.5 Ni10 Be22.5,amorphous,None,None,fracture toughness,EXP,None,293.0,55000000.0,None,None,T1,10.1016/j.scriptamat.2013.05.020
27,Ni59 Zr20 Ti16 Si2 Sn3,amorphous,None,None,fracture toughness,EXP,None,293.0,20000000.0,None,None,T1,10.1016/j.scriptamat.2013.05.020
28,(Zr0.25Hf0.25Ta0.25Ti0.25)C,carbide,None,None,fracture toughness,EM,None,None,14200000.0,None,None,P2,10.1007/s11661-020-06034-2
29,Mo,BCC,None,None,fracture toughness,EXP,None,273.0,13400000.0,None,None,T8,10.1007/s11661-009-9919-9
30,Mo,BCC,None,None,fracture toughness,EXP,None,298.0,12600000.0,None,None,T8,10.1007/s11661-009-9919-9
31,W,BCC,None,None,fracture toughness,EXP,None,296.0,7829000.0,None,None,F15,10.1016/j.actamat.2020.01.012
34,W90 Ni 6.78 Fe 2.95,BCC+FCC,S,Spheroidal BCC W in ductile FCC Ni-Fe-W solid solution,fracture toughness,EXP,None,296.0,97000000.0,None,None,T4,10.1016/j.actamat.2020.01.012
33,W92.5 Ni 5.33 Fe 2.19,BCC+FCC,S,Spheroidal BCC W in ductile FCC Ni-Fe-W solid solution,fracture toughness,EXP,None,296.0,96000000.0,None,None,T4,10.1016/j.actamat.2020.01.012
34,W95 Ni 3.48 Fe1.49,BCC+FCC,S,Spheroidal BCC W in ductile FCC Ni-Fe-W solid solution,fracture toughness,EXP,None,296.0,107000000.0,None,None,T4,10.1016/j.actamat.2020.01.012
32,W97.13 Ni2.01 Fe 0.86,BCC+FCC,S,Spheroidal BCC W in ductile FCC Ni-Fe-W solid solution,fracture toughness,EXP,None,296.0,69000000.0,None,None,T4,10.1016/j.actamat.2020.01.012
