Name:,Marcia Ahn
Email:,mfa5876@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,Data by Marcia; small fixes by Adam

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Ti45 Al45 Nb10 ,BCC,A,None,creep rate,EXP,stress = 207 MPa,1033.0,6e-09,None,s-1,T1,10.1016/S0921-5093(01)01150-9
2,Ti49 Al47 Nb2 Cr2 ,BCC,A,None,creep rate,EXP,stress = 207 MPa,1033.0,4e-09,None,s-1,T1,10.1016/S0921-5093(01)01150-9
3,Ti49.5 Al48 W2 Si0.5 ,BCC,A,None,creep rate,EXP,stress = 225 MPa,1033.0,4.6e-09,None,s-1,T1,10.1016/S0921-5093(01)01150-9
4,Ti 49 Al47 Nb2 Cr2 ,BCC,A,None,creep rate,EXP,stress = 207 MPa,1033.0,3.4e-09,None,s-1,T1,10.1016/S0921-5093(01)01150-9
5,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 370 MPa,923.0,2.2e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
6,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 350 MPa,923.0,2e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
7,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 335 MPa,923.0,9.3e-09,None,s-1,T1,10.1016/S0022-3115(02)01014-0
8,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 322 MPa,923.0,7e-09,None,s-1,T1,10.1016/S0022-3115(02)01014-0
9,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 280 MPa,923.0,4.2e-09,None,s-1,T1,10.1016/S0022-3115(02)01014-0
10,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 250 MPa,973.0,1.3e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
11,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 200 MPa,973.0,6.1e-09,None,s-1,T1,10.1016/S0022-3115(02)01014-0
12,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 180 MPa,973.0,5.6e-09,None,s-1,T1,10.1016/S0022-3115(02)01014-0
13,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 160 MPa,973.0,4e-09,None,s-1,T1,10.1016/S0022-3115(02)01014-0
14,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 260 MPa,998.0,7.2e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
15,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 230 MPa,998.0,3.3e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
16,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 200 MPa,998.0,2.2e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
17,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 180 MPa,998.0,1e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
18,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 150 MPa,998.0,6.6e-09,None,s-1,T1,10.1016/S0022-3115(02)01014-0
19,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 174 MPa,1073.0,1.1e-07,None,s-1,T1,10.1016/S0022-3115(02)01014-0
20,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 150 MPa,1073.0,2.3e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
21,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 130 MPa,1073.0,5.3e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
22,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 110 MPa,1073.0,2.6e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
23,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 90 MPa,1073.0,1.2e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
24,Cr3.91 Ti4.25 V91.84,BCC,None,None,creep rate,EXP,stress = 75 MPa,1073.0,1.2e-08,None,s-1,T1,10.1016/S0022-3115(02)01014-0
25,Mo80.7 Nb2.7 Si8.9 B7.7 ,BCC,HIP,None,creep rate,EXP,stress = 102 MPa,1588.0,3.78e-05,None,s-1,F12,10.1016/j.msea.2006.08.125 
26,Mo80.7 Nb2.7 Si8.9 B7.7 ,BCC,HIP,None,creep rate,EXP,stress = 106 MPa,1588.0,4.03e-05,None,s-1,F12,10.1016/j.msea.2006.08.125 
27,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 109 MPa,1588.0,4.3e-05,None,s-1,F12,10.1016/j.msea.2006.08.125
28,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 112 MPa,1588.0,4.55e-05,None,s-1,F12,10.1016/j.msea.2006.08.125
29,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 116 MPa,1588.0,4.89e-05,None,s-1,F12,10.1016/j.msea.2006.08.125
30,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 101 MPa,1473.0,1.85e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
31,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 104 MPa,1473.0,2.01e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
32,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 108 MPa,1473.0,2.12e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
33,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 115 MPa,1473.0,2.39e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
34,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 117 MPa,1473.0,2.46e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
35,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 123 MPa,1473.0,2.65e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
36,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 126 MPa,1473.0,2.85e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
37,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 137 MPa,1473.0,3.3e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
38,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 142 MPa,1473.0,3.55e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
39,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 148 MPa,1473.0,3.75e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
40,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 152 MPa,1473.0,4.04e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
41,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 157 MPa,1473.0,4.35e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
42,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 169 MPa,1473.0,4.85e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
43,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 174 MPa,1473.0,5.23e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
44,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 181 MPa,1473.0,5.52e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
45,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 186 MPa,1473.0,5.94e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
46,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 191 MPa,1473.0,6.28e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
47,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 206 MPa,1473.0,7.12e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
48,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 217 MPa,1473.0,7.69e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
49,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 226 MPa,1473.0,8.43e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
50,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 236 MPa,1473.0,9.24e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
51,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 247 MPa,1473.0,9.94e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
52,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 256 MPa,1473.0,1.08e-05,None,s-1,F12,10.1016/j.msea.2006.08.125
53,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 269 MPa,1473.0,1.15e-05,None,s-1,F12,10.1016/j.msea.2006.08.125
54,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 279 MPa,1473.0,1.24e-05,None,s-1,F12,10.1016/j.msea.2006.08.125
55,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 156 MPa,1366.0,2.18e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
56,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 162 MPa,1366.0,2.35e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
57,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 168 MPa,1366.0,2.53e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
58,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 175 MPa,1366.0,2.67e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
59,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 180 MPa,1366.0,2.87e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
60,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 187 MPa,1366.0,3.09e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
61,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 194 MPa,1366.0,3.33e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
62,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 201 MPa,1366.0,3.58e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
63,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 210 MPa,1366.0,3.92e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
64,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 219 MPa,1366.0,4.22e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
65,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 228 MPa,1366.0,4.54e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
66,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 238 MPa,1366.0,5.07e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
67,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 248 MPa,1366.0,5.46e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
68,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 259 MPa,1366.0,5.93e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
69,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 273 MPa,1366.0,6.56e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
70,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 283 MPa,1366.0,7.06e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
71,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 150 MPa,1323.0,5.21e-08,None,s-1,F12,10.1016/j.msea.2006.08.125
72,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 154 MPa,1323.0,5.61e-08,None,s-1,F12,10.1016/j.msea.2006.08.125
73,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 160 MPa,1323.0,6.04e-08,None,s-1,F12,10.1016/j.msea.2006.08.125
74,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 165 MPa,1323.0,6.5e-08,None,s-1,F12,10.1016/j.msea.2006.08.125
75,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 170 MPa,1323.0,6.99e-08,None,s-1,F12,10.1016/j.msea.2006.08.125
76,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 178 MPa,1323.0,7.52e-08,None,s-1,F12,10.1016/j.msea.2006.08.125
77,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 182 MPa,1323.0,8.02e-08,None,s-1,F12,10.1016/j.msea.2006.08.125
78,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 189 MPa,1323.0,8.71e-08,None,s-1,F12,10.1016/j.msea.2006.08.125
79,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 196 MPa,1323.0,9.46e-08,None,s-1,F12,10.1016/j.msea.2006.08.125
80,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 205 MPa,1323.0,1.03e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
81,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 213 MPa,1323.0,1.14e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
82,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 221 MPa,1323.0,1.23e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
83,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 232 MPa,1323.0,1.35e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
84,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 241 MPa,1323.0,1.48e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
85,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 251 MPa,1323.0,1.63e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
86,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 263 MPa,1323.0,1.8e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
87,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 273 MPa,1323.0,1.95e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
88,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 285 MPa,1323.0,2.14e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
89,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,HIP,None,creep rate,EXP,stress = 294 MPa,1323.0,2.3e-07,None,s-1,F12,10.1016/j.msea.2006.08.125
90,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,A+HIP,None,creep rate,EXP,stress = 101 MPa,1588.0,2.08e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
91,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,A+HIP,None,creep rate,EXP,stress = 104 MPa,1588.0,2.24e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
92,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,A+HIP,None,creep rate,EXP,stress = 107 MPa,1588.0,2.43e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
93,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,A+HIP,None,creep rate,EXP,stress = 111 MPa,1588.0,2.69e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
94,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,A+HIP,None,creep rate,EXP,stress = 115 MPa,1588.0,2.95e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
95,Mo80.7 Nb2.7 Si8.9 B7.7,BCC,A+HIP,None,creep rate,EXP,stress = 119 MPa,1588.0,3.24e-06,None,s-1,F12,10.1016/j.msea.2006.08.125
