Name:,Marcia Ahn
Email:,mfa5876@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,Collected by Marcia; small fixes by Adam; elemental data moved to another sheet

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
27,Al17.6 Mo10.1 Nb21.1 Ta10.6 Ti20.9 Zr19.7,BCC,None,None,hardness,EXP ,None,298.0,5800000000,None,Pa,T1,10.1016/j.matdes.2017.11.033 
28,Al20.7 Mo12.7 Nb22.3 Ta13.6 Ti20.2 Zr10.4,BCC,None,None,hardness,EXP ,None,298.0,6200000000,None,Pa,T1,10.1016/j.matdes.2017.11.033 
29,Al25.8 Nb24.8 Ta13.5 Ti24.1 Zr11.8,BCC,None,None,hardness,EXP ,None,298.0,5000000000,None,Pa,T1,10.1016/j.matdes.2017.11.033 
30,Al9.8 Mo11.2 Nb24.5 Ta13.6 Ti21.4 Zr19.5,BCC,None,None,hardness,EXP ,None,298.0,6400000000,None,Pa,T1,10.1016/j.matdes.2017.11.033 
31,Al5 Nb26 Ta28.9 Ti21.1 Zr19,BCC,None,None,hardness,EXP ,None,298.0,4900000000,None,Pa,T1,10.1016/j.matdes.2017.11.033 
32,Nb25 Mo25 Ta25 W25,BCC,None,None,hardness,EXP ,None,298.0,16000000000,None,Pa,None,10.1016/j.ijplas.2017.04.013 
37,Ru53 Ta32 Zr15 ,BCC,SD,magnetron sputtering deposition,nanohardness,EXP ,None,298.0,17100000000,None,Pa,T3,10.1016/j.apsusc.2015.06.144
38,Zr38 Ta32 Ru30,BCC+amorphous,SD,magnetron sputtering deposition,nanohardness,EXP ,None,298.0,15800000000,None,Pa,T3,10.1016/j.apsusc.2015.06.144
39,Ru65 Ta35,None,SD,from an earlier study by the same authors,nanohardness,EXP ,None,298.0,14200000000,None,Pa,T3,10.1016/j.apsusc.2015.06.144
40,Ru55 Ta45,None,SD,from an earlier study by the same authors,nanohardness,EXP ,None,298.0,12600000000,None,Pa,T3,10.1016/j.apsusc.2015.06.144
41,Ta49 Zr51,None,SD,from an earlier study by the same authors,nanohardness,EXP ,None,298.0,5400000000,None,Pa,T3,10.1016/j.apsusc.2015.06.144
42,Zr30 Ru70,None,SD,from an earlier study by the same authors,nanohardness,EXP ,None,298.0,12300000000,None,Pa,T3,10.1016/j.apsusc.2015.06.144
43,Mo20 Ta20 W20 Nb20 V20 ,None,None,None,hardness,EXP ,None,298.0,7576000000,None,Pa,T5,10.1016/j.ijrmhm.2016.02.006 
44,Mo98.79 Ti1.0 Zr0.08 C0.13,BCC,SPS,sintered at 1420*C for 30min under 40MPa,hardness,EXP ,None,298.0,1900000000,30000000.0,Pa,T1,10.1016/j.ijrmhm.2016.04.020 
45,Mo94.67 Ti0.96 Zr0.08 C0.89 B3.4,BCC,SPS,sintered at 1420*C for 30min under 40MPa,hardness,EXP ,None,298.0,2100000000,20000000.0,Pa,T1,10.1016/j.ijrmhm.2016.04.020 
46,Mo90.85 Ti0.93 Zr0.08 C1.59 B6.56,BCC+Mo2C,SPS,sintered at 1420*C for 30min under 40MPa,hardness,EXP ,None,298.0,3400000000,40000000.0,Pa,T1,10.1016/j.ijrmhm.2016.04.020 
47,Mo83.96 Ti0.86 Zr0.08 C2.86 B12.24,BCC+Mo2C,SPS,sintered at 1420*C for 30min under 40MPa,hardness,EXP ,None,298.0,5200000000,20000000.0,Pa,T1,10.1016/j.ijrmhm.2016.04.020 
48,Mo67.86 Ti0.72 Zr0.06 C5.83 B25.52,BCC+Mo2C+Mo2B,SPS,sintered at 1420*C for 30min under 40MPa,hardness,EXP ,None,298.0,7800000000,10000000.0,Pa,T1,10.1016/j.ijrmhm.2016.04.020 
49,CrMoNbTiVWZr,BCC+laves+HCP,VAM,None,hardness,EXP ,None,298.0,7129689000,176526000.0,Pa,T1,10.1016/j.ijrmhm.2018.05.014 
